season,round,game_index,date,home_team,away_team,home_score,away_score
26,38,5,24/05/2026,AC Milan,Cagliari,1,2
26,38,6,24/05/2026,Cremonese,Como,1,4
26,38,7,24/05/2026,Hellas Verona,AS Roma,0,2
26,38,8,24/05/2026,Lecce,Genoa,1,0
26,38,9,24/05/2026,Torino,Juventus,2,2
27,1,0,22/08/2026,Inter,Monza,4,1
27,1,1,22/08/2026,Udinese,Como,1,1
27,1,2,22/08/2026,Genoa,SSC Napoli,0,2
27,1,3,22/08/2026,Parma,Cagliari,0,1
27,1,4,23/08/2026,Frosinone,Juventus,0,1
27,1,5,23/08/2026,Venezia,Lecce,0,2
27,1,6,23/08/2026,Atalanta,Sassuolo,2,1
27,1,7,23/08/2026,Torino,AC Milan,1,2
27,1,8,24/08/2026,Bologna,Lazio,0,1
27,1,9,24/08/2026,AS Roma,Fiorentina,4,0
27,2,0,28/08/2026,AC Milan,Venezia,2,0
27,2,1,29/08/2026,Fiorentina,Frosinone,0,3
27,2,2,29/08/2026,Monza,Udinese,2,3
27,2,3,29/08/2026,Sassuolo,Torino,2,1
27,2,4,29/08/2026,Juventus,Parma,2,0
27,2,5,30/08/2026,SSC Napoli,Como,1,2
27,2,6,30/08/2026,Cagliari,Inter,0,1
27,2,7,30/08/2026,Lazio,Genoa,1,0
27,2,8,31/08/2026,Lecce,AS Roma,0,4
27,2,9,31/08/2026,Atalanta,Bologna,1,0
