player,playerID
Marvin Senaya,263112
Ismaïla Sarr,235353
Eli Junior Kroupi,277909
Lucas Beraldo,279709
Marquinhos,207865
Tiago Morais,259054
Iliman Ndiaye,261188
Gautier Lloris,222286
Kelvin Yeboah,251229
Yaya Fofana,70011
Rabby Nzingoula,70768
Ahmadou Bamba Dieng,261084
Lucas Mincarelli Davin,278262
Andy Pelmard,247412
Amin Sarr,256453
Cristian Cásseres Jr.,242534
Alexsandro Ribeiro,269493
Andy Diouf,268534
Tiago Santos,270559
Thérence Koudou,276258
Pierre-Emerick Aubameyang,188567
Yassine Kechta,263468
Lamine Camara,275138
Jeffinho,273990
Aboubacar Lô,251915
Frank Magri,266299
Reda Khadra,260558
Mohamed Daramy,246459
Kévin Keben Biakolo,271983
Ivan Cavaleiro,212267
Martín Satriano,264325
Aleksandr Golovin,225663
Amine Salama,267465
Marco Asensio,220834
Douglas Augusto,251675
Danley Jean Jacques,268805
Samuel Grandsir,233550
Duje Ćaleta-Car,225263
Morgan Guilavogui,257020
Geoffrey Kondogbia,201455
Nabil Alioui,245364
Joseph Okumu,253073
Bilal Boutobba,226295
Enzo Tchato Mbiayi,270518
Yanis Begraoui,243169
Emran Soglo,277601
Youssef Maziz,237138
Valentin Atangana Edoa,275137
Nuno Mendes,252145
José Fonte,171791
Nuno Da Costa,230857
Rafael Ratão,220581
Kamaldeen Sulemana,256035
Sofiane Boufal,211381
Mamadou Diakhon,276256
Kenji Van Boto,228759
Bevic Moussiti Oko,239211
Pablo Sarabia,198950
Jérémie Bela,212035
Naatan Skyttä,263343
Jean Fiacre Kouamé Botué,263466
Ben Touré,275517
Remy Labeau Lascary,274692
Rony Lopes,212692
Papa Ndiaga Yade,251916
Alan Virginius,257319
Waniss Taibi,251855
Axel Camblan,264512
Ismaël Diallo,231527
Abdu Conté,247180
Mario Lemina,212811
Tetê,247641
Edan Diop,275019
Carlos Baleba,272500
Ludovic Ajorque,219733
Thiago Mendes,213874
Reda Belahyane,275163
Gelson Martins,227055
Désiré Doué,271421
Tiago Djaló,252339
Pape Gueye,241707
Dango Ouattara,265552
Xeka,236639
Nordine Kandil,263107
Warren Zaïre-Emery,270673
Jubal,217565
Florent Hanin,194846
Pape Diong,73430
Steve Ngoura,271256
Mutassim Al Musrati,252308
Luc Zogbe,279573
Arnaud Nordin,236518
Mathieu Cafaro,231236
Marwann Nzuzi,74459
Yassin Belkhdim,269729
Osame Sahraoui,246548
Sorba Thomas,260478
Yvann Maçon,255523
Jérémy Le Douaron,257111
Thibault De Smet,237331
Himad Abdelli,246297
Justin-Noel Kalumba,275024
Charlie Cresswell,254121
Mory Gbane,277659
Gaëtan Perrin,232360
Mason Greenwood,246147
Sidiki Cherif,277485
Hans Hateboer,220093
Henrik Wendel Meister,277309
Ibrahima Niane,239025
Willian Pacho,256196
Ngal'ayel Mukau,274447
João Neves,272834
Thelonius Bair,245563
Meschack Elia,251532
Amar Dedić,257345
Zuriko Davitashvili,271688
Benjamin Old,262289
Albert Grønbæk,256949
Léo Pétrot,248559
Mickael Nade,238749
Lasso Coulibaly,263421
Jota,234570
Lassine Sinayoko,251170
Ignatius Ganago,241130
Saïd Benrahma,220621
Kevin Danso,237985
Denis Genreau,236890
Mathis Amougou,70020
Ibrahim Mbaye,74449
Ado Onaiwu,237453
Gabriel Moscardo,279731
Guemissongui Ouattara,75318
Rayan Raveloson,225853
Victor Orakpo,74480
Ibrahim Sissoko,244022
Anass Salah-Eddine,268728
Marshall Munetsi,235432
Mathys Tel,268421
Iván Jaime,246070
Cucho Hernández,237034
Johnny,259516
Danilo Veiga,271539
Cheick Oumar Conde,270512
Alberto Costa,270674
Yehor Yarmoliuk,270608
Edmond-Paris Maghoma,243849
Pedro Lima,240048
Carles Aleñá,233113
Viti Rozada,234350
Ricardo Rodríguez,193352
Emmanuel Quartsin Gyasi,220491
Rafael Leao,241721
Lautaro Gianetti,215147
Aaron Caricol,236295
Samuel Vignato,265595
Andre-Frank Zambo Anguissa,227236
Brenner da Silva,240332
Antonin Barak,236791
Christian Gytkjaer,201285
Adrian Bernabe,252794
Nahuel Estevez,240992
Alvaro Morata,201153
Milan Djuric,192840
Valentin Mihaila,248060
Dodo,234112
Mikael Egill Ellertsson,264436
Angelino,220651
Mehmet Zeki Celik,224490
Chico Conceicao,261050
Evan N'Dicka,236403
Kouadio Kone,250723
Charalambos Lykogiannis,210381
Khephren Thuram-Ulien,247246
Ignace Van Der Brempt,251464
Ismael Bennacer,226754
Thorir Helgason,263657
Andrea Belotti,208596
Francesco Camarda,279202
Honest Ahanor,74483
Benjamin Lhassine Kone,253120
Joel Pohjanpalo,220165
Khvicha Kvaratskhelia,247635
Patrick Dorgu,277432
Souleymane Toure,258972
Mathias Fjortoft Lovik,264294
Ali Dembele,273936
Estanis Pedrola,266158
Jean-Daniel Akpa-Akpro,205343
Stiven Shpendi,277515
Mateus Lusuardi,278346
Hamza Rafia,251790
Memeh Caleb Okoli,261281
Aleksey Miranchuk,214092
Tijani Reijnders,240638
Jan-Carlo Simic,277022
Mirko Maric,258027
Fares Ghedjemis,279877
Min-Jae Kim,237086
Iyenoma Udogie,259583
Mohamed Mady Camara,237520
Filip Djuricic,193881
Lorenzo Malagrida,274716
Hamed Traore,240787
Andrew Gravillon,239550
Samuel Ntanda-Lukisa,279578
Romain Esse,273616
Joachim Andersen,224221
Darwin Nunez,253072
Facundo Buonanotte,269495
Myles Lewis-Skelly,278773
Trevoh Chalobah,230918
Wes Burns,212484
Kenny Tete,216266
Harrison Reed,205990
Lisandro Martinez,239301
Youri Tielemans,216393
Mohamed Salah,209331
Dominic Solanke,225539
Adam Lallana,180819
Tyler Dibling,279497
Armando Broja,256268
Jack Harrison,232080
Cody Gakpo,242516
James Garner,243657
Vladimir Coufal,244470
Mikey Moore,72159
Jefferson Lerma,213991
Nathan Wood,245153
Jurrien Timber,251805
Justin Devenny,73895
Andy Irving,242271
Danny Ings,195859
Marcos Senesi,236506
John Stones,203574
Curtis Jones,242434
Calvin Bassey,241436
Mads Roerslev,238157
Jacob Murphy,206085
Wesley Fofana,248695
Matt Doherty,201417
Sammie Szmodics,220139
Bruno Guimaraes,247851
Pervis Estupinan,237942
Lewis Hall,266127
Heung-Min Son,200104
Yankuba Minteh,271800
Edson Alvarez,235844
Jadon Sancho,233049
Declan Rice,234378
Raheem Sterling,202652
Dejan Kulusevski,247394
Jeremy Doku,246420
Mason Mount,233064
Conor Chaplin,225667
Ferdi Kadioglu,235152
Elliot Anderson,254243
Tyler Adams,232999
Evanilson,256612
Ibrahima Konate,237678
Ikoma Lois Openda,243580
Alejandro Grimaldo Garcia,210035
Arthur Augusto de Matos Soares,247182
Dayotchanculle Upamecano,229558
